Song_Name,Spotify_Popularity,Youtube_Enagement_Score
Easy On Me,85,20.476
Stay,75,14.7689
INDUSTRY BABY (feat. Jack Harlow),83,22.711
Fancy Like,76,6.6916
Bad Habits,87,8.8201
Way 2 Sexy (with Future & Young Thug),78,13.4225
Shivers,88,8.4028
good 4 u,87,16.6072
Need to Know,82,15.4359
Levitating,84,9.9578
Essence (feat. Tems),75,7.4358
Kiss Me More (feat. SZA),82,11.6991
Heat Waves,85,14.5433
Beggin',86,16.1777
Cold Heart - PNAU Remix,86,6.2638
You Right,83,13.1364
Save Your Tears,90,13.4531
If I Didn't Love You,71,6.3104
traitor,87,24.0118
My Universe,83,35.5181
Who Want Smoke?? (feat. G Herbo Lil Durk & 21 Savage),71,8.9416
Knife Talk (with 21 Savage ft. Project Pat),84,10.6334
Meet Me At Our Spot,79,16.5784
MONTERO (Call Me By Your Name),82,22.3463
Chasing After You,68,7.1371
