id,music video title,view count,like count,dislike count,comment count
1,Adele - Easy On Me (Official Video),338712149,6679685,0,255784
2,"The Kid LAROI, Justin Bieber - STAY (Official Video)",724994727,10457000,0,250373
3,"Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video)",423327608,9179307,0,434903
4,Walker Hayes - Fancy Like,119349967,771321,0,27318
5,Ed Sheeran - Bad Habits [Official Video],503278809,4288540,0,150414
6,Drake ft. Future and Young Thug - Way 2 Sexy (Official Video),95534687,1231790,0,50525
7,Ed Sheeran - Shivers [Official Video],274339172,2249951,0,55275
8,Olivia Rodrigo - good 4 u (Official Video),429685485,6898474,0,237403
9,Doja Cat - Need to Know (Official Video),277264189,4194263,0,85549
10,Dua Lipa - Levitating Featuring DaBaby (Official Music Video),716668580,6987357,0,149109
11,Wizkid - Essence (Official Video) ft. Tems,138939491,997026,0,36102
12,Doja Cat - Kiss Me More (Official Video) ft. SZA,411821397,4673095,0,144835
13,Glass Animals - Heat Waves (Official Video),526198574,7506859,0,145794
14,Måneskin - Beggin’ (Official Video),15040271,239467,0,3850
15,"Elton John, Dua Lipa - Cold Heart (PNAU Remix) (Official Video)",426071663,2621940,0,46892
16,"Doja Cat, The Weeknd - You Right (Official Video)",229666377,2947553,0,69436
17,The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video),265052357,3473763,0,92009
18,Jason Aldean & Carrie Underwood - If I Didn't Love You (Official Music Video),37189993,229673,0,5011
19,Olivia Rodrigo - traitor (Official Video),92161277,2155666,0,57294
20,Coldplay X BTS - My Universe (Official Video),264539024,8963237,0,432693
21,"Nardo Wick - Who Want Smoke?? ft. Lil Durk, 21 Savage & G Herbo (Directed by Cole Bennett)",178022245,1540280,0,51532
22,"Drake - Knife Talk (Official Video) ft. 21 Savage, Project Pat",80913027,834045,0,26332
23,"WILLOW, THE ANXIETY, Tyler Cole - Meet Me At Our Spot (Live Performance)",123964082,2010223,0,44905
24,Lil Nas X - MONTERO (Call Me By Your Name) (Official Video),530039130,10811837,0,1032575
25,"Ryan Hurd, Maren Morris - Chasing After You (Official Video)",32946124,230921,0,4219
26,Drake - Girls Want Girls (Music Video) ft. Lil Baby,5148295,52155,0,1388
27,Swedish House Mafia and The Weeknd - Moth To A Flame (Official Video),73523723,1060881,0,31428
28,Let's Go Brandon - Bryson Gray (Feat. Tyson James and Chandler Crump),1542417,52182,0,4461
29,Lil Nas X - THATS WHAT I WANT (Official Video),140658050,2813944,0,152671
30,Farruko - Pepas (Official Video),550953518,4721535,0,93248
31,CKay - Love Nwantiti Remix ft. Joeboy & Kuami Eugene [Ah Ah Ah] [Official Music Video],381183341,5177728,0,83343
32,The Weeknd - Take My Breath (Official Music Video),144242457,1736195,0,59258
33,Billie Eilish - Happier Than Ever (Official Music Video),284221354,5883236,0,147043
34,Moneybagg Yo - Wockesha (Official Music Video),61050582,481849,0,11347
35,"NEIKED, Mae Muller, Polo G - Better Days",24857295,354768,0,11050
36,Jordan Davis - Buy Dirt (Official Music Video) ft. Luke Bryan,35209011,183194,0,4074
37,Justin Bieber - Ghost,253179623,3037274,0,102432
38,LETS GO BRANDON - Theme Song - Loza Alexander - (OFFICIAL MUSIC VIDEO),6764037,320059,0,32079
39,Luke Combs - Cold As You (Official Video),16631377,63596,0,1666
40,Tai Verdes - AOK (Official Video),11695672,271256,0,4912
41,You Should Probably Leave (Live From The Tonight Show Starring Jimmy Fallon),2266303,19232,0,759
42,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Video]",663266156,7023583,0,193032
43,Thinking ‘Bout You (feat. MacKenzie Porter) [Official Music Video],17957350,114332,0,1915
44,Lee Brice - Memory I Don't Mess With (Official Music Video),17378749,106847,0,2718
45,Young Thug - BUBBLY ft. Drake & Travis Scott (Official Video),137549,2068,0,62
46,Normani - Wild Side (Official Video) ft. Cardi B,145947951,2044144,0,96183
47,Meek Mill - Sharing Locations feat. Lil Baby & Lil Durk [Official Video],48967777,505672,0,14022
48,"Capella Grey - ""Gyalis"" [Official Music Video]",24209679,246249,0,5287
49,Old Dominion - I Was On a Boat That Day (Official Video),11026224,53724,0,1223
50,"Baby Keem, Kendrick Lamar - family ties (Official Video)",88732212,1464498,0,51251
51,Chlöe - Have Mercy (Official Video),95135582,1710473,0,60260
52,"Drake ""Fair Trade"" ft. Travis Scott (Fan Music Video)",3417433,23437,0,315
53,Zac Brown Band - Same Boat (Official Music Video),3900994,27923,0,632
54,Elvie Shane - My Boy (Official Music Video),22984794,199626,0,5606
55,Kanye West - Hurricane,12202085,271808,0,12449
56,Blxst - Chosen (feat. Ty Dolla $ign & Tyga) [Official Music Video],81798536,762084,0,9190
57,"Yung Bleu, Chris Brown & 2 Chainz - Baddest (Official Video)",61587170,576348,0,15809
58,Kenny Chesney - Knowing You (Official Music Video),18662226,114138,0,7942
59,"Kane Brown, blackbear - Memory (Official Video)",21694952,211706,0,4649
60,"Jameson Rodgers, Luke Combs - Cold Beer Calling My Name (Official Video)",15576263,77547,0,1878
61,Lil Tjay - Not In The Mood (Feat. Fivio Foreign & Kay Flock) [Official Video],32153531,518957,0,20167
62,Lil Durk - Pissed Me Off (Official Video),38156827,439253,0,22147
63,Doja Cat - Woman (Official Video),177903824,3327233,0,72572
64,Morgan Wallen: Sand In My Boots (The Dangerous Sessions),39416777,202338,0,4680
65,Cody Johnson - 'Til You Can't (Official Music Video),49902013,272945,0,7195
66,Dua Lipa - Love Again (Official Music Video),258737147,2336900,0,71900
67,Michael Ray | Whiskey And Rain (Official Music Video),8919541,74987,0,1542
68,Kane Brown - One Mississippi (Official Video),14164475,100991,0,3977
69,"Moneybagg Yo, Lil Durk, EST Gee - Switches & Dracs [Official Music Video]",27407371,309392,0,8267
70,Jugaste y Sufri - (Video Oficial) - Eslabon Armado ft. DannyLux - DEL Records 2021,173360687,1617013,0,25027
71,Gunna - too easy Remix (feat. Future & Roddy Ricch) [Official Video],14480635,169346,0,4092
72,Ivan Cornejo - Está Dañada (Video Oficial),21721170,293829,0,3075
73,"Aventura, Bad Bunny - Volví (Video Oficial)",427900648,3225389,0,69140
74,Jon Pardi - Tequila Little Time (Official Music Video),14642653,72215,0,2685
75,BIA - WHOLE LOTTA MONEY (Official Music Video),18437676,343373,0,7445
76,Sleepy Hallow - 2055 (Official Video),123292041,1081515,0,19318
77,42 Dugg - Maybach feat. Future (Official Music Video),131724120,691653,0,12254
78,RealestK - WFM (Official Music Video),24825704,459264,0,6951
79,Wale - Poke It Out (feat. J. Cole) [Official Music Video],9411599,145607,0,4960
80,Kanye West - Praise God (Audio),36016896,725449,0,11172
81,"Tainy, Bad Bunny, Julieta Venegas - Lo Siento BB:/ (Official Video)",211668103,1964154,0,39909
82,"Jimmie Allen, Brad Paisley - Freedom Was A Highway (Official Music Video)",9209117,64317,0,2195
83,Giveon - For Tonight (Official Music Video),28460047,405180,0,7042
84,Megan Thee Stallion - Thot Shit [Official Video],59417636,1196892,0,52432
85,Lady A - Like A Lady (On Set Version),2214572,17589,0,821
86,Doja Cat - Get Into It (Yuh) (Official Video),67336949,1524431,0,49293
87,Moneybagg Yo - Scorpio [Official Music Video],31540932,267359,0,7234
88,Latto - Big Energy (Official Video),46040355,541971,0,17005
89,Kelsea Ballerini - half of my hometown (feat. Kenny Chesney) [Official Music Video],15264442,94156,0,2742
90,LISA - 'MONEY' M/V,2352134,48210,0,724
91,Drake - No Friends In The Industry,17378185,204678,0,4657
92,Grupo Firme -  Ya Superame - (Video Oficial),382844434,1975089,0,19606
93,Jonas Brothers - Who's In Your Head (Official Music Video),14763699,209932,0,4542
94,"Drake - In The Bible (Audio) ft. Lil Durk, Giveon",22186436,257893,0,4624
95,Priscilla Block - Just About Over You (Official Music Video),14072194,109509,0,1634
96,Parker McCollum - To Be Loved By You (Official Music Video),14114576,91309,0,2884
97,Doja Cat - Ain't Shit (Official Live Performance) | Vevo,60979268,1229872,0,21787
98,Oliver Tree - Life Goes On [Music Video],296826034,6119590,0,161198
99,H.E.R. - Come Through (Official Video) ft. Chris Brown,56305531,587723,0,12866
100,YoungBoy Never Broke Again - Nevada [Official Audio],64756196,521942,0,23845
